Price,Close,High,Low,Open,Volume
Ticker,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS
Date,,,,,
2013-12-03,441.7993469238281,459.1909689000189,432.52520779538145,433.3937234561976,953180
2013-12-04,423.6466369628906,450.0414964926831,421.3549744986371,450.0414964926831,337650
2013-12-05,408.9336242675781,427.78712667624194,405.9626530811697,424.1067207513021,412250
2013-12-06,415.22808837890625,421.0969711578621,403.4989302988007,410.59747525774196,358630
2013-12-09,402.5616760253906,426.0844720154757,400.71718256147665,421.3549773715098,164480
2013-12-10,404.1826171875,411.0102898372825,402.6390705479396,408.45636164216427,771730
2013-12-11,417.5155029296875,422.2148977772548,404.2557078316941,407.7899439417798,335410
2013-12-12,425.4954528808594,429.7820824076565,414.6477199778971,414.6477199778971,274280
2013-12-13,422.6663513183594,434.5975769881924,420.581084536053,423.53056321429597,334190
2013-12-16,417.343505859375,428.2342496980374,414.04576552129515,421.6258578035883,106560
2013-12-17,410.7952880859375,421.32916204179867,404.24279273012274,417.141413900565,216700
2013-12-18,426.4929504394531,429.0941673477577,407.1665094973212,407.1665094973212,291290
2013-12-19,422.2278137207031,432.3618081956692,417.4166265620506,423.94332628464514,174040
2013-12-20,436.2744140625,438.46716939286455,423.84873054426174,423.84873054426174,208430
2013-12-23,427.0303955078125,447.0662712875201,423.0748127418446,439.4560526163256,203800
2013-12-24,427.8472900390625,434.081624133899,425.65453475090777,427.3743510529316,63400
2013-12-26,427.9591064453125,434.2536407640481,425.7405548371368,433.5657247013482,48140
2013-12-27,429.31768798828125,432.36174349543467,427.78274901804974,432.36174349543467,42200
2013-12-30,427.78704833984375,433.30333935632393,427.3742830458073,429.9540070883374,54320
2013-12-31,427.87738037109375,431.24392805460207,427.37434146188883,429.78207373376273,39690
2014-01-01,430.1217346191406,431.6738624279227,427.80427601173614,430.34959661764697,24440
2014-01-02,428.4793395996094,437.26329828330245,427.37435446765255,428.49652831553385,111890
2014-01-03,427.2840576171875,431.6738982407535,425.65454109397007,425.92541426496047,39520
2014-01-06,428.74591064453125,433.82366728626664,421.3549989499914,431.58790081888543,42660
2014-01-07,429.3607177734375,435.62945526462875,427.6538127655589,430.6419724641802,73340
2014-01-08,436.394775390625,444.37044441623095,425.0525848773482,425.0525848773482,124240
2014-01-09,433.6130065917969,440.2729912945425,429.95409306107666,440.2729912945425,106690
2014-01-10,430.7322692871094,434.812529056054,429.09414539296705,429.5327069250771,142080
2014-01-13,434.6835632324219,436.83333357481763,428.6642062737137,428.6642062737137,652240
2014-01-14,431.0332946777344,435.9734631531549,430.01860928650024,431.67392209641764,296390
2014-01-15,424.5667724609375,433.82369704676046,421.4410239256036,433.82369704676046,104790
2014-01-16,425.91680908203125,435.5434873261215,424.7946352203436,429.95408423111695,41560
2014-01-17,425.2890319824219,433.3936548120927,421.44093823141185,433.3936548120927,34280
2014-01-20,435.0404052734375,441.13284669525063,423.99058115551315,429.3520954581212,86410
2014-01-21,437.3277893066406,439.8430100991384,435.2855074904423,437.5212476427453,68610
2014-01-22,433.5183410644531,439.83867057728554,432.1038017477548,439.83867057728554,24820
2014-01-23,433.81072998046875,438.11887800616364,431.33849416590886,438.11887800616364,40330
2014-01-24,423.2295837402344,433.8193546260854,419.7211700616166,430.0400677828988,86060
2014-01-27,416.20843505859375,421.6215418971487,414.73366956166683,421.6215418971487,39100
2014-01-28,413.4566650390625,424.8289535303044,411.0360219318573,421.35491787993743,60800
2014-01-29,406.32379150390625,418.775271021766,405.0167405569852,416.0020619764958,46690
2014-01-30,403.20233154296875,407.9404074459747,400.2012343552286,405.5326752035568,81210
2014-01-31,399.52191162109375,411.89600245396514,396.3058635485344,404.15682913019543,79070
2014-02-03,392.41046142578125,405.44667144463756,391.25818771433745,396.1596744090026,204090
2014-02-04,391.7139587402344,393.9239289851334,388.6870914977642,388.6870914977642,99580
2014-02-05,390.6520080566406,395.699665002091,388.3345491547923,395.54916532139686,45770
2014-02-06,387.3069152832031,398.91137115017926,385.1184375737603,398.7394052717695,126410
2014-02-07,380.5953369140625,393.83361289609303,379.907394676735,391.086200170754,101770
2014-02-10,381.0167236328125,386.0042069701923,378.5316025648768,380.595377009651,156690
2014-02-11,379.8902282714844,385.2388581101165,378.4541700886072,378.8755429344391,100790
2014-02-12,381.5885314941406,388.2485156761271,378.57454933868206,381.0252927259641,400040
2014-02-13,414.359619140625,421.3549801162172,388.2571248715672,389.10842551548626,1901970
2014-02-14,417.0124816894531,424.62264807585444,414.7337040224179,416.186950943569,739760
2014-02-17,421.72906494140625,424.7946396936413,418.7752824510188,421.2690109173566,280960
2014-02-18,423.0748596191406,425.4998071858455,420.08236945752714,421.3550431166238,298850
2014-02-19,421.3464050292969,425.276191750238,419.7383809150238,423.504782980709,169690
2014-02-20,421.5097961425781,425.56856390556027,420.1511527300874,421.9569652026836,352270
2014-02-21,419.9791259765625,422.9888044353823,417.9153517104059,421.7849383003171,87070
2014-02-24,414.492919921875,423.0748127662778,413.18586897194405,423.0748127662778,217360
2014-02-25,422.7437438964844,425.56854536596705,415.33994719639156,420.0522271428077,151150
2014-02-26,431.0375671386719,434.1676191548353,417.9153603882014,422.4728630806944,429320
2014-02-28,442.0185852050781,442.8612783467959,429.22742599351216,431.24391153482816,276150
2014-03-03,446.0386962890625,449.5513876857579,434.7738936531188,438.0372305670014,910180
2014-03-04,466.5947265625,472.43353621445135,442.65921793175517,445.43240059022816,299960
2014-03-05,481.4754638671875,490.14765665171115,468.73592223570563,468.73592223570563,281890
2014-03-06,473.8394775390625,489.97566701953724,470.28380132687005,485.8352070625849,195890
2014-03-07,467.2826843261719,479.82876785489844,462.80259626665077,475.0992728312391,980610
2014-03-10,478.10888671875,481.54851899730215,464.3503576045414,472.7774461900695,451470
2014-03-11,473.32781982421875,481.29057728093323,469.8193800570947,478.45289102890854,421840
2014-03-12,475.0224914550781,476.5831250186136,467.37922353587294,472.6015120021734,156160
2014-03-13,479.6438903808594,482.87756257581646,471.3954298891762,474.6766498785007,76850
2014-03-14,481.7103576660156,484.1485938438887,475.5412818658867,477.70283314709525,513700
2014-03-18,481.1094055175781,484.1010112738837,476.0211057235619,481.7103230632581,190900
2014-03-19,496.3354187011719,505.71658337980574,482.45826935743764,483.3099079381854,316600
2014-03-20,495.1205749511719,499.76790968664375,491.93012350560474,495.9549041000614,107930
2014-03-21,498.31109619140625,505.7165732017236,494.7402091518055,498.02142931350056,106180
2014-03-24,501.07781982421875,503.46850817957977,495.4275480587305,499.05896472460523,486680
2014-03-25,514.5789794921875,518.6859274083778,500.9525501730147,504.4196872784538,244910
2014-03-26,499.4696044921875,531.7329184747442,491.9690326940512,520.6744419926872,194400
2014-03-27,511.7816467285156,514.4490190437449,494.9777552509759,497.9823421095688,148740
2014-03-28,504.2509460449219,515.3137490867567,501.9121331289636,512.304887036253,612090
2014-03-31,515.4434814453125,518.3399387262957,504.93399497165353,505.80294271039696,93530
2014-04-01,523.0477905273438,527.1590647221713,507.70943318291575,515.7460649680938,201360
2014-04-02,530.5182495117188,535.2001510597308,520.5275648177411,524.8247038663274,190110
2014-04-03,532.1522216796875,536.0646501140129,520.5274467954165,533.9030991054886,146820
2014-04-04,523.0736694335938,528.7153382647743,520.6700523283444,527.5048486790671,153290
2014-04-07,522.5118408203125,530.8770343494632,520.527551372061,522.2308285782992,83230
2014-04-09,537.37890625,540.3704591619461,520.5274625219754,523.0953598670095,635360
2014-04-10,547.1535034179688,551.1091529403018,533.0385625573568,533.5227479485466,246180
2014-04-11,527.89404296875,547.1188673848752,524.8938351232346,544.4169282852765,91030
2014-04-15,520.2897338867188,535.6324210474854,517.0949546795202,535.6324210474854,153290
2014-04-16,518.9625244140625,523.5277462771014,517.2722292243328,521.7898505172457,132320
2014-04-17,507.6056823730469,521.366096928297,497.9651438831381,519.6368561424651,235130
2014-04-21,516.5546264648438,520.5016217707229,510.12617416067525,513.9305260599283,475910
2014-04-22,524.5307006835938,529.8222272123219,516.0098817086702,516.6107993476946,737810
2014-04-23,543.4917602539062,546.440092597025,523.8389026840823,528.6634992905177,296820
2014-04-24,543.4917602539062,543.4917602539062,543.4917602539062,543.4917602539062,0
2014-04-25,528.09716796875,542.9816319431571,525.2569130660319,542.9816319431571,114630
2014-04-28,529.7789306640625,536.0560842763291,527.4142061343044,527.4185334588177,289080
2014-04-29,527.4315795898438,536.164227064398,527.1592219736278,528.8884632772827,517490
2014-04-30,536.1727905273438,542.4196525654877,527.4185079164357,529.0613079844187,68300
2014-05-02,540.2495727539062,543.4140610111241,530.9635029434947,539.8691375692772,172940
2014-05-05,556.1715087890625,560.2741291705452,536.0647532187314,540.2149213988778,121810
2014-05-06,553.0760498046875,573.1914562938506,549.0339599453648,562.0032660858066,141630
2014-05-07,559.9929809570312,566.3220083231874,555.2030031619333,556.3572375679881,167220
2014-05-08,561.22509765625,570.3901058392545,549.898591179531,566.3263792808062,125950
2014-05-09,560.153076171875,585.1492866867106,552.4882231753991,562.0941451517735,671840
2014-05-12,558.6312866210938,574.9726352583891,555.5186739150602,566.3264302169096,424660
2014-05-13,561.3374633789062,566.4992744059305,559.0289417777165,560.8792420264515,570310
2014-05-14,560.9788208007812,563.6721055459093,557.797023302192,562.6086390872562,212480
2014-05-15,549.1766357421875,560.2740583496363,531.8410060652935,559.1154437128911,205530
2014-05-16,548.7529296875,560.2740068173196,537.4134418356739,551.6278030084103,311910
2014-05-19,549.6435546875,553.3570847220234,543.0680803190758,543.0897169390953,277480
2014-05-20,579.7193603515625,587.0772888661838,546.8724377140813,550.5038541790427,372760
2014-05-21,628.2461547851562,634.3417181601786,580.1646261429947,581.8895396501932,599380
2014-05-22,630.4638671875,645.4390981414821,624.1305125019252,631.1728622147112,503320
2014-05-23,643.5240478515625,647.1684464914738,624.1609075721262,632.0375876890679,403430
2014-05-26,618.4932861328125,644.1422326817917,605.2343125869183,635.4960282162642,194740
2014-05-27,612.8170166015625,630.135335738267,606.0988992195298,620.3478264966607,266920
2014-05-28,600.00341796875,626.8542017755011,596.5881563741873,613.8503282055862,162150
2014-05-29,596.7826538085938,622.4403089470712,589.2388611775451,600.8247967982252,73770
2014-05-30,577.1730346679688,607.8281670288452,570.7489111556532,601.9357766415662,778700
2014-06-02,595.0144653320312,596.441110112419,574.9725706312674,577.5664318521603,152230
2014-06-03,625.0860595703125,630.7406586775137,590.535805177165,594.4265974513922,531840
2014-06-04,621.8653564453125,628.1381828363388,614.8532963618469,623.4130610235436,339720
2014-06-05,617.5249633789062,622.95908008743,614.0534993512474,622.5267698306033,92200
2014-06-06,621.9085083007812,624.2516487602696,618.207960150048,619.0682532914318,394630
2014-06-09,630.4033813476562,636.9917847219584,621.9084751722759,621.9084751722759,331830
2014-06-10,621.7139892578125,631.1729392528478,618.7267107759419,631.1729392528478,170870
2014-06-11,621.13037109375,623.6075002421406,614.6110991194085,623.3913451294051,259770
2014-06-12,630.1310424804688,637.2252680084054,612.0388702220602,614.9180710803346,373410
2014-06-13,634.5753173828125,639.1015935544252,630.1398094869975,635.9241234067165,191050
2014-06-16,626.9578857421875,634.6313920148466,624.9562873472182,630.3082898894048,489270
2014-06-17,628.9335327148438,632.8157228294629,620.9704122154818,626.9578982239718,206760
2014-06-18,625.9937744140625,639.7326041416932,621.1475943449697,631.1728417542138,144650
2014-06-19,622.8898315429688,631.2593509208155,620.974726854847,631.1729099872485,49330
2014-06-20,623.8884887695312,631.0388637423752,618.2468194323096,623.3913214746557,49960
2014-06-23,617.2783813476562,623.888420609257,609.557328189919,623.888420609257,152420
2014-06-24,624.1393432617188,629.44379910571,618.4847435150166,619.9935022457631,346950
2014-06-25,624.1134033203125,631.1730112217896,620.0193848460931,622.5268055886144,432820
2014-06-26,639.8104248046875,648.4523012573989,632.2796150896952,632.9021164309194,258520
2014-06-27,668.2565307617188,672.2424184812008,639.8191507087956,641.5440643325079,471520
2014-06-30,691.2252197265625,702.5041797501365,678.6968767060246,678.6968767060246,477670
2014-07-01,695.9675903320312,702.0718086261919,681.4506319078303,690.3994324975545,207750
2014-07-02,706.9915161132812,712.8795794188161,700.3425825703348,704.5792439935474,260240
2014-07-03,742.0864868164062,785.9400119897085,710.2511545855398,710.2554819096956,772160
2014-07-04,746.84619140625,756.4564925413979,734.9360757453524,747.8102875873175,355240
2014-07-07,729.2123413085938,752.219881572737,726.3677059132335,746.8592235863892,156410
2014-07-08,720.9984130859375,744.4382625551749,718.5860880776348,728.8750933031504,214480
2014-07-09,708.0420532226562,727.893705493076,705.5259780957235,726.2811967557432,249340
2014-07-10,702.413330078125,716.6665851802567,692.137307839214,711.46588063616,127210
2014-07-11,714.2499389648438,736.6522295824246,704.1684358753888,704.4364660798054,293390
2014-07-14,714.2067260742188,727.003150878165,708.197656199193,714.1764875784307,86380
2014-07-15,737.38720703125,743.5735917209547,712.239754857575,720.976727673178,142490
2014-07-16,739.9292602539062,749.5395618152069,734.9317810104113,743.5736590234445,139090
2014-07-17,751.6146850585938,754.727350915213,739.5186511788753,742.419436435757,371300
2014-07-18,740.5517578125,751.7874965670152,737.0889486180339,751.7874965670152,119620
2014-07-21,739.7909545898438,759.1325119799554,730.7081115333333,745.9081555065707,126830
2014-07-22,738.0660400390625,747.0191688952832,733.7169733670977,733.7169733670977,82100
2014-07-23,738.86572265625,747.4081769279509,734.0800716830906,739.250485089346,105480
2014-07-24,733.87255859375,743.1455916558351,732.7658191056039,743.1023711885076,66900
2014-07-25,742.4192504882812,749.855017528731,705.7161570365254,733.8033378276136,113760
2014-07-28,747.20068359375,753.0844194821785,730.6086148814102,743.0548432707627,93460
2014-07-30,736.548583984375,750.4905894625825,731.0366283302,747.2007148126426,121640
2014-07-31,734.836669921875,740.9797817974991,731.1230868117136,731.2095805266142,49560
2014-08-01,726.9728393554688,747.0233890275038,724.5864785501695,728.9614557691373,160960
2014-08-04,728.572509765625,734.7545148837336,725.4252783751793,728.8751058418317,51540
2014-08-05,730.4183959960938,738.3340218972385,726.3028468004314,730.6043126208687,488080
