Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Date,,,,,
2013-12-03,212.50155639648438,216.60565898047932,211.1145108815671,214.70560934029967,3753980
2013-12-04,212.15953063964844,215.46562153479533,211.15251828254,212.84354384699773,2375652
2013-12-05,210.6585235595703,215.08564911307167,209.26199151905212,214.70563913230654,3172604
2013-12-06,214.05963134765625,215.27566800341572,209.765522926541,209.765522926541,2035128
2013-12-09,217.25177001953125,218.50579866000237,213.31865172726629,215.0477161674949,4063508
2013-12-10,219.42723083496094,221.51728546561537,216.22565178952428,216.2351613154317,12426016
2013-12-11,223.52194213867188,225.34598595278294,219.46533902022253,219.46533902022253,9236796
2013-12-12,224.34841918945312,225.72595553425393,219.8358001288988,222.53386203698906,3782148
2013-12-13,224.42442321777344,225.72595290338003,221.93536221428292,222.98987610818122,11441044
2013-12-16,225.28897094726562,226.48601199968618,221.9638826838474,224.11094895438745,8242520
2013-12-17,222.3723602294922,227.6260034282113,221.9068572296189,227.43599841700245,7373060
2013-12-18,228.69390869140625,229.1236229304457,223.2222326984287,223.8333725130001,3504008
2013-12-19,236.06585693359375,240.3820920313802,228.69385355914937,228.71297061595635,6543352
2013-12-20,236.3810577392578,239.09304648078205,235.13966084508291,236.76302601438854,11683408
2013-12-23,236.9443817138672,240.6303601306351,236.2568437518236,237.27860382311601,4224696
2013-12-24,236.39051818847656,239.39851710705344,235.6743279697678,237.73696512504256,2197664
2013-12-26,237.75608825683594,237.96616608426118,235.86534118303575,236.82026159268366,2933928
2013-12-27,237.97581481933594,241.00290900265338,236.82035136028477,238.34822459486725,3104892
2013-12-30,238.0998992919922,242.54983872951306,235.69350397989382,240.4490133546905,1578700
2013-12-31,241.12698364257812,242.1678376572711,236.46696696186982,239.0739045772661,1495972
2014-01-01,240.35354614257812,242.53077005519782,239.16945377065045,242.3206921586938,737988
2014-01-02,238.9306640625,241.59488289232033,236.84893274088824,240.63996240657994,1030976
2014-01-03,240.59226989746094,241.78592077014136,237.47921909611304,237.7943475891994,2725944
2014-01-06,238.85426330566406,241.78586450405427,237.64151896393773,241.5948804088694,1392104
2014-01-07,239.94288635253906,242.0723638809353,237.2309212660147,239.8760465755067,3879316
2014-01-08,238.04249572753906,243.79111027300402,237.24034882668454,240.25790577629382,2576776
2014-01-09,245.46237182617188,246.45548005260932,237.41238546927102,238.82567280188908,3250300
2014-01-10,247.9356231689453,251.83170463251074,242.54987926961667,248.050232313885,5292496
2014-01-13,256.55859375,258.4015957512061,248.852386743401,249.17705052426697,4611212
2014-01-14,252.28994750976562,256.39610486893287,251.14404313046313,256.39610486893287,2560164
2014-01-15,254.0757293701172,257.3320180695581,252.6910944456703,254.06619415183695,3919128
2014-01-16,265.6015930175781,266.99578634894505,255.96645397294247,258.0195331598174,13027348
2014-01-17,263.4913024902344,267.18684134434216,261.61011316634193,265.27699973358915,7473896
2014-01-20,273.2218933105469,274.444196412382,262.72732463116984,264.6085136599549,7594044
2014-01-21,275.0457763671875,278.5598887265579,273.28870853075705,273.51790345559084,7940204
2014-01-22,276.69281005859375,277.65997545135167,270.6409076238085,275.78310883154523,7216076
2014-01-23,270.36309814453125,276.6927106004801,267.8542434958563,276.6927106004801,6043544
2014-01-24,270.3919372558594,274.06905953455964,268.19908778007607,270.6600644082268,4416224
2014-01-27,272.8146667480469,273.78183234166306,267.4713632290684,270.03768347823524,6256364
2014-01-28,270.5068054199219,273.11144211330617,267.75855508341596,271.761244759433,3914664
2014-01-29,272.3931884765625,274.82543207808243,269.2906155647292,270.2290485450692,2616276
2014-01-30,274.6722412109375,276.74062338762405,269.6162374517806,272.508124411497,5446576
2014-01-31,280.03466796875,281.50935510164373,273.8870094369543,275.03610536358593,3797684
