Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2013-12-03,1469.331298828125,1490.4712107379348,1456.5041002267326,1478.3606193199257,176090
2013-12-04,1455.9307861328125,1480.6895994222675,1448.9797314128614,1467.6115182658457,182977
2013-12-05,1469.403076171875,1482.5885787835155,1461.8787005074983,1469.7613797749407,167351
2013-12-06,1501.3638916015625,1517.7741273409285,1475.4943003753408,1475.4943003753408,361042
2013-12-09,1521.50048828125,1539.0932313757967,1505.2335385891565,1526.373452604096,405152
2013-12-10,1576.5718994140625,1583.558820474097,1513.7611656308025,1522.790487443412,620989
2013-12-11,1549.8426513671875,1583.6664855914948,1540.705907034772,1576.57214232634,391058
2013-12-12,1522.360107421875,1550.0570777940304,1517.9889089280982,1545.4706872191111,243761
2013-12-13,1476.891845703125,1528.8100119091944,1472.8430842590353,1519.2792743572008,324205
2013-12-16,1464.3154296875,1479.7941304575222,1456.038580068925,1476.211093822032,531098
2013-12-17,1472.5562744140625,1492.334705923936,1456.8626444866084,1471.6963806425363,458674
2013-12-18,1522.0736083984375,1534.5068126101671,1465.5332859584012,1486.8881268483601,441620
2013-12-19,1493.0513916015625,1525.7287562585489,1484.0937998592926,1523.5072035252806,240612
2013-12-20,1525.8360595703125,1529.2399441695652,1477.3933371871349,1490.5431508306915,259407
2013-12-23,1549.94970703125,1554.822671183465,1525.298488312426,1526.3375338048327,209552
2013-12-24,1526.875,1549.3765721415682,1523.4711156351407,1549.3048414369223,185214
2013-12-26,1503.442138671875,1542.138933470865,1497.7092801831357,1542.138933470865,478556
2013-12-27,1495.7025146484375,1511.9694631174173,1491.2595849936795,1502.7253002074704,158731
2013-12-30,1482.123046875,1509.8915797247068,1471.7681063900227,1509.8915797247068,168075
2013-12-31,1487.175048828125,1496.2041951329727,1480.868870088792,1486.9600316642843,130565
2014-01-01,1494.7352294921875,1505.9141970751998,1477.5366563309992,1492.692828948123,93575
