Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2013-12-03,484.4649353027344,488.35573629913324,483.3353742752707,486.9751163146657,904361
2013-12-04,478.6078186035156,484.3812550250636,477.60373604284285,483.6281803371189,1511053
2013-12-05,473.0436096191406,482.70784774574696,471.91404854786305,480.5741529470321,1685322
2013-12-06,468.2742919921875,478.10583436845894,467.3120355019235,473.3364801932511,1930183
2013-12-09,468.35797119140625,477.31096093505687,464.0069802714318,476.9344235446209,2328730
2013-12-10,471.2446594238281,476.09766583881236,464.0906537451238,468.56712279391024,4237317
2013-12-11,473.1272888183594,476.7252046774441,469.65485136647635,472.7507514572285,1073885
2013-12-12,470.86822509765625,475.344695126028,469.1111184305771,472.7508612708588,807089
2013-12-13,469.2783508300781,471.0773344356699,466.8936991387279,469.3620541778771,803775
2013-12-16,466.2242736816406,471.91400681223314,462.16611727198386,470.4497346279753,1176141
2013-12-17,465.9313659667969,468.3997206000075,463.83954866234006,466.475258893859,1130610
2013-12-18,466.9354553222656,469.40380999161005,462.29163105234323,464.5926301209295,1029818
2013-12-19,464.3416442871094,470.99363394223946,461.7059338919456,468.56710529050895,870189
2013-12-20,475.8466491699219,476.7252022949948,461.705942618655,463.5467522096132,1130685
2013-12-23,472.9179992675781,477.81283063720724,471.9557430162317,474.42409729902164,497585
2013-12-24,472.83428955078125,476.9342712579161,471.83025825656495,473.58736409119393,534468
2013-12-26,471.5793151855469,476.5160248968435,470.15692014614285,471.9140264123261,2061908
2013-12-27,475.8883972167969,479.3608340815332,470.24049096411403,471.53740737114964,741157
2013-12-30,479.7374267578125,482.70784859820554,475.8466766733901,477.98032040610764,758816
2013-12-31,477.478271484375,482.66593790369046,475.55375857488997,482.66593790369046,382527
2014-01-01,478.90069580078125,480.6160270702717,476.34868856999327,477.4783007037869,251204
2014-01-02,470.57525634765625,481.7455406842058,467.395653086985,477.77108767812683,531660
2014-01-03,472.7507629394531,474.75892820108385,466.93549997783805,468.5671278691925,1018173
2014-01-06,471.49578857421875,475.0937054070587,468.73459896156373,474.42433384486606,603727
2014-01-07,467.6886291503906,473.5038927888159,465.2202739577042,471.07736373774725,605461
2014-01-08,467.8559875488281,470.36616889795226,466.0570038207144,466.8937309370891,564149
2014-01-09,463.6722717285156,468.56710408434935,463.37938664660606,468.56710408434935,854783
2014-01-10,460.0325012207031,466.0151197874915,458.8611140451579,464.6763259257433,985783
2014-01-13,456.6018981933594,461.8732676647113,454.7610887242221,460.1998137963609,1488598
2014-01-14,450.49383544921875,459.2794689145304,449.48975283923056,456.0998654712739,925057
2014-01-15,456.1835632324219,457.02029021888274,450.2427709866922,450.57748220918154,2060042
2014-01-16,461.9569396972656,462.4171803865629,455.38865341083834,456.0161986383223,1221864
2014-01-17,467.646728515625,471.077288698133,462.29165542756385,462.7100189166386,1475015
2014-01-20,464.46710205078125,470.4915462078902,458.7773690961958,468.4834322020268,1549558
2014-01-21,468.3997497558594,469.40383233845006,459.19575304334074,465.052841860398,1927455
2014-01-22,473.9640197753906,475.13540693454956,462.6263791295013,470.1987482721221,1892894
2014-01-23,474.5078125,476.9343409784955,468.69260130352467,474.42416023650344,856175
2014-01-24,473.42010498046875,475.9721120011277,465.7222067145748,471.07727970035165,2366263
2014-01-27,481.3273010253906,489.4017385847993,464.46722824517957,471.41210456125145,3220246
