Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2013-12-03,155.62579345703125,156.9665507832805,154.77257816262437,156.9665507832805,5571166
2013-12-04,152.5299072265625,155.7233589212761,152.04235385695614,155.5283420370839,6589585
2013-12-05,150.53091430664062,155.26015071924368,149.9458637954562,154.0656558535574,15412309
2013-12-06,151.65228271484375,152.28609859139442,150.38465096174244,151.0184668382931,12720288
2013-12-09,152.62738037109375,154.84573597268968,151.4572681774222,154.06565745720087,9375442
2013-12-10,154.9919891357422,155.28451437651302,152.6029995254125,152.72487946283906,16106661
2013-12-11,156.4302520751953,156.86905108734035,154.55318725057035,154.55318725057035,10507287
2013-12-12,154.4556884765625,156.99095197760118,153.91938101917,156.43026183618034,6252733
2013-12-13,153.72434997558594,154.79696479123538,152.28608420629118,153.87061258886845,7155219
2013-12-16,152.50550842285156,153.57811225321942,151.4816476456891,153.2612042935172,6392979
2013-12-17,153.72434997558594,153.9925036794983,152.16419311566133,153.50495047610107,8170761
2013-12-18,153.84622192382812,154.87007124853506,152.50546473021274,153.72433084836464,11976708
2013-12-19,152.919921875,154.79698691149426,151.67666158663317,154.55320469539848,11225016
2013-12-20,153.6756134033203,154.01690403259337,151.3109951603512,153.09055172394028,15025765
2013-12-23,155.62579345703125,155.9670728793209,153.50494656159057,153.67559185229632,8737722
2013-12-24,155.55270385742188,156.0158745080271,154.79700789878973,155.8939945425785,6601425
2013-12-26,156.1377410888672,156.69842008734665,154.89449198649478,155.5770620903877,15461170
2013-12-27,157.21034240722656,157.79540408125243,156.01584753394886,156.50340078882428,8181664
2013-12-30,157.1859588623047,157.96603731498038,156.01583560372993,156.99094203891636,5758996
2013-12-31,156.91783142089844,157.96606376078353,156.16213552419308,157.47851046156683,5206776
2014-01-01,157.1859588623047,157.6735120798979,156.55214302717022,157.1372046564576,1859278
2014-01-02,153.5537109375,158.45359237553996,153.2368141753694,157.16157800775892,6784786
2014-01-03,153.45620727539062,154.06565161311843,151.31098864938895,153.57809837476077,11999877
2014-01-06,153.89500427246094,154.406929028455,152.8467720772718,153.5780963455841,8155128
2014-01-07,154.40695190429688,154.74824256493795,152.48113253364173,154.3094434752921,7779138
2014-01-08,154.48008728027344,155.04076632107692,152.96868432737438,154.79699525097197,7475487
2014-01-09,153.87066650390625,154.40697409964883,152.43240023065462,154.40697409964883,7663869
2014-01-10,157.28350830078125,158.20984961263065,153.09057854948873,154.89451811374843,9187308
2014-01-13,158.67298889160156,159.0874164061358,157.2834771985979,157.77103044695573,6358396
2014-01-14,158.18545532226562,160.8913531201895,157.89291889384558,158.94115118084295,7568301
2014-01-15,160.33065795898438,160.64756588169763,156.67403666546412,158.50234731222423,8848785
2014-01-16,158.69737243652344,161.33014436916574,157.7954028278615,160.40379207634822,4745587
2014-01-17,158.38047790527344,159.91626352251714,157.23473715367663,158.94115693796198,11277892
2014-01-20,160.98887634277344,161.13513899086732,157.52727120892789,158.20984139249074,8607181
2014-01-21,160.4281768798828,162.03708812258665,160.16002314624495,161.0132385569906,6975030
2014-01-22,159.59934997558594,160.281920097257,157.38099429037405,160.16002898866884,11368410
2014-01-23,160.37942504882812,160.89134983921912,158.5998684657558,159.1117932561468,6293119
2014-01-24,158.0879364013672,161.0863592694777,157.6735200511548,159.86749290255793,5127522
2014-01-27,158.0635528564453,158.6973687201693,155.35765525294903,156.25962484048875,9243978
2014-01-28,159.25807189941406,159.89188785947775,155.47956998544717,158.0392053538681,13114560
2014-01-29,158.45359802246094,160.1600176260137,158.063553198125,159.57495596907125,9125380
