Price,Close,High,Low,Open,Volume
Ticker,UPL.NS,UPL.NS,UPL.NS,UPL.NS,UPL.NS
Date,,,,,
2013-12-03,103.27062225341797,106.86429158205281,102.98691607387185,104.31089989048108,1464126
2013-12-04,102.1042709350586,105.28813556852853,101.56837421330998,102.7977822175768,1961176
2013-12-05,104.59461212158203,105.5718367823764,103.39672708615166,103.39672708615166,1660828
2013-12-06,106.89582824707031,108.06219045445239,104.5630966171739,104.6576653558591,3647550
2013-12-09,109.92208099365234,110.33188611302288,106.26537226529388,107.81001678051136,2945016
2013-12-10,112.91680145263672,114.11468660522637,110.39492506221094,110.96235193989284,4225117
2013-12-11,115.9115219116211,116.44741866210053,112.57004253823621,113.4842214699754,3500383
2013-12-12,113.48422241210938,117.55074326792965,113.01137148539226,115.50171777540042,4597347
2013-12-13,109.13399505615234,113.54726795608727,107.87305684968557,112.85375663236668,3783219
2013-12-16,112.22327423095703,113.64182688506378,109.13398563230601,109.13398563230601,2197737
2013-12-17,111.56128692626953,115.47018568582077,109.732929192897,112.41241996975427,2575566
2013-12-18,111.56128692626953,113.16897706330471,110.83624552918789,111.75042439587415,5091082
2013-12-19,110.14274597167969,112.53852358377073,109.0078993879738,111.56129878996252,4166190
2013-12-20,117.04637145996094,118.87472948307911,109.38618728492892,110.01666004712125,4771435
2013-12-23,119.06387329101562,120.1671825117575,115.43867319353446,116.03761578314067,2488530
2013-12-24,118.18120574951172,122.15315776166165,117.29854974681173,120.29326980122553,2483829
2013-12-26,119.56822204589844,120.29326344377398,115.7223763204697,117.86596317219707,2556225
2013-12-27,122.05857849121094,122.81514282015573,119.78889271950877,119.78889271950877,2025591
2013-12-30,123.91847229003906,125.05331162225443,121.2074584001404,122.37381343116631,4375858
2013-12-31,124.80110931396484,126.34576811631842,123.88693762793304,125.27396022094169,1541151
2014-01-01,125.1163558959961,125.90443594991602,124.04456240498024,124.80111233021624,652306
2014-01-02,124.17064666748047,127.54364872262784,123.06732311346002,124.83263502778715,1664496
2014-01-03,126.1566390991211,126.7240660625528,122.56298309827731,122.87821228336875,1706644
2014-01-06,127.00775909423828,128.61544932474462,124.0760776389948,126.09357295926921,2659779
2014-01-07,127.19689178466797,129.245917156343,126.72404088584021,127.22842191204647,1868245
2014-01-08,127.10232543945312,128.30022505588363,126.03053191180372,126.37729118785477,1713861
2014-01-09,128.4263153076172,128.9937277647227,127.07080834802285,127.76432689252813,2248036
2014-01-10,128.64697265625,131.2318802817541,126.75556908964191,127.54364909897393,2364907
2014-01-13,129.93942260742188,130.44380363899126,128.42630837324248,128.86762914938436,1668526
2014-01-14,130.9481658935547,131.5786385545222,128.86762487170503,130.41226918232468,1175766
2014-01-15,132.52435302734375,136.40173645383132,130.69599512260962,131.16884605607075,2971651
2014-01-16,136.08648681640625,136.8745812905815,132.52434712440228,132.7450147315925,5443908
2014-01-17,136.65391540527344,137.2528579778241,134.22661498639005,136.3071561411094,2297256
2014-01-20,136.4017333984375,136.78000836462695,134.6679370610734,136.62238658024884,1351366
2014-01-21,134.1320343017578,136.30715133557032,133.65918340007093,135.8658305614526,3617761
